blockNumber,transactionIndex,address,transactionHash,logIndex,event_ilk,event_urn,event_ink,event_art,event_due,event_clip,event_id,timestamp,from
12492084,48,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x51488de7d4c3a60d19ec1161b0a739fc3119e1de1b87a2cbe0b2df06908382dc,90,0x574254432d410000000000000000000000000000000000000000000000000000,0x66Fa2a652289A05c36046a655201884cd2bF0E0b,0.22770187,4873.933340779023,5033138396836140921898897404489.623697896891159373,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,8.4e-17,1621793094,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492091,38,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0xd53e89f1c82c06a0c882a535cef9bce4f90be6d68b19a7ef8d9d26181b38c68a,104,0x4554482d43000000000000000000000000000000000000000000000000000000,0x8F4AD2f4dCCFd3Fb2cD03D4253285573E595d542,13.88,14929.145992228301,15020934176616283410007080495077.31113617344887385,0xc2b12567523e3f3CBd9931492b91fe65b240bc47,2e-17,1621793169,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492091,38,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0xd53e89f1c82c06a0c882a535cef9bce4f90be6d68b19a7ef8d9d26181b38c68a,109,0x4554482d41000000000000000000000000000000000000000000000000000000,0xAe3aEb13C610Db37c2DBc10Ae6983c61BdB67A3E,4,4804.596139020826,5014268166215343233999051991752.99933181954374912,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.66e-16,1621793169,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492091,38,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0xd53e89f1c82c06a0c882a535cef9bce4f90be6d68b19a7ef8d9d26181b38c68a,114,0x4241542d41000000000000000000000000000000000000000000000000000000,0xE4EC21ab2A33C66bB58cDbA19a3C80e0a9596B01,15305.699968973518,4724.575121450383,5002452625798151151399546902601.559227805089932088,0x3D22e6f643e2F4c563fD9db22b229Cbb0Cd570fb,6e-18,1621793169,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492091,38,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0xd53e89f1c82c06a0c882a535cef9bce4f90be6d68b19a7ef8d9d26181b38c68a,119,0x574254432d410000000000000000000000000000000000000000000000000000,0x859956422346A43A0a76206636B961f5948F8627,0.10603826,2288.3193712389693,2363066395521509323468782157985.301782424035218924,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,8.5e-17,1621793169,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492091,38,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0xd53e89f1c82c06a0c882a535cef9bce4f90be6d68b19a7ef8d9d26181b38c68a,124,0x574254432d410000000000000000000000000000000000000000000000000000,0x6d3a10E1b7Fd32fE658B975da0cD619A752BE0Ec,0.10513071,2200.9373949071864,2272830122368740562536326101420.606521075267331314,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,8.6e-17,1621793169,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492091,38,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0xd53e89f1c82c06a0c882a535cef9bce4f90be6d68b19a7ef8d9d26181b38c68a,129,0x574254432d410000000000000000000000000000000000000000000000000000,0xc56d1870d8BdcBeDEDfF13AEB7500F3dc9b14949,0.09167878,1951.6033718474114,2015351704557798214240906016015.897500822517787228,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,8.7e-17,1621793169,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12497454,219,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x4d9271ac75a81597adfca7e7ae726ad4d5d067afd0f59a157845da53a50da6cf,234,0x4554482d41000000000000000000000000000000000000000000000000000000,0x8685120474F057c58d1457df5D30fd8f56Ac160d,3.102,4791.284885191181,5001004373014304142593604834950.665061063299863492,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.67e-16,1621865476,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12498927,19,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x4c2347a4c7bac673f14b16c45b381b3fbf67056516f709fd482662e88dc350ed,38,0x4554482d41000000000000000000000000000000000000000000000000000000,0x536A538170E45d494bb4c972750aFad19D6B548e,3.29,5324.389827790654,5557623321311604343651532451024.450191355469457376,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.68e-16,1621884490,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12503080,89,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x6e93be278d827458e9ec20e4cef8f86d3d41384b4ee1f802132a9ad3acc72b63,177,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0xA3D0232F4bCe68A0B7FeaC86e75598509Cd6FCDc,2049.796930792801,29441.599738475426,29971705876165331281247400691112.416555461901184856,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,3.8e-17,1621940445,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
