event_ilk,event_symb,blockNumber,transactionIndex,address,transactionHash,logIndex,event_id,event_top,event_tab,event_lot,event_usr,event_kpr,event_coin,timestamp,from
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052022,11,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x42a4677044212a021c8527c5dc1884d6fb6867704e3efc1e735bd92b19624b8f,142,3.48e-16,3023844000000,17987277908060160226530919623661.588335115756704022,8.525116727234053,0x9057bEfBD23B943AAdDf4B51E9B378073b0E9f00,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,317987277908060160226530919623.661588335115756704,1642810056,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052024,9,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x3e111da91a88c442c63db33d1f93dcb22e4cd877b94695f9858f847bdd62dab3,51,3.49e-16,3023844000000,79276623543576987287509615682429.971286304261584002,40,0x3FEA5ABdC94E452ABBCE788880B9Caa335c64fa4,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,379276623543576987287509615682.429971286304261584,1642810083,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052034,4,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xc8f898e08684aceb287e3e6b694a2fb7498e33ce4bcee1a80be2398699eb377a,25,3.5e-16,3023844000000,34061423611604976754350802167636.253303631658496202,17.088413399512515,0xF3086132F96787fD1bd3916bC921E0DF9A6414CC,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,334061423611604976754350802167.636253303631658496,1642810194,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052034,181,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x3cd4cf11d28ce6cce4f0dd56828a1d95dd64e15c21d611c3cd9d6751c076c552,188,3.51e-16,3023844000000,58951312358268031814026164188478.22038178327396989,29.9,0xde973b3Ca22aAE67b5385B12295b321Bf44c07ad,0xB8bBf36ba36fc78F3F137C514Af33709fFFBa604,358951312358268031814026164188.478220381783273969,1642810194,0xB8bBf36ba36fc78F3F137C514Af33709fFFBa604
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052037,90,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x0de11775cee812fce4a7a9b6316cf4c93f40fadb7c4176708a37b4cc55b44b3f,163,3.52e-16,3023844000000,32725847930441193567244125446310.225897016988982625,16.44076027733631,0xdD3D08472bF0B651B52Ab7E719A1D2B5AE23FCE5,0xB8bBf36ba36fc78F3F137C514Af33709fFFBa604,332725847930441193567244125446.310225897016988982,1642810219,0xB8bBf36ba36fc78F3F137C514Af33709fFFBa604
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052038,577,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa9ad654425bad3ad3845431e2010cf031bade934b2ddc85f74c11b924d3de9c8,539,3.53e-16,3023844000000,30207967554895168572925045855265.474792162818330434,15.3,0xA10fe48afd05d7170296705697ed3e87e3d6F81B,0xB8bBf36ba36fc78F3F137C514Af33709fFFBa604,330207967554895168572925045855.26547479216281833,1642810241,0xB8bBf36ba36fc78F3F137C514Af33709fFFBa604
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052040,155,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x2df1818240c3fbf0ae0eb2e36a7162c721bb1fbe5aebd9538b6b0c32b49be732,181,3.54e-16,3023844000000,25694024519327401195117108284950.095690622134595998,12.824329772835917,0x8538B2Bbfd1BeD11eb8a8FBdfDb8772F66377a1F,0xB8bBf36ba36fc78F3F137C514Af33709fFFBa604,325694024519327401195117108284.950095690622134595,1642810274,0xB8bBf36ba36fc78F3F137C514Af33709fFFBa604
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052253,0,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xe4d691d9273ea97a7f28feee103c91307ce08f285931f297392e5427b07b9e77,7,3.55e-16,3086868000000,16958164859416345203562223061871.402120614700737625,8.41,0x0aAC197Ddb70CA38184AE07762A1848a4B398c53,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,316958164859416345203562223061.871402120614700737,1642813210,0x1121e7f863CdeCc045c1c13aBf4F20B3dd0c658a
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052253,23,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x3b708ad2194c8f56103aff5511352d296b203586b518b95a888ae040c6d00147,47,3.56e-16,3086868000000,18074859262312170076177966710288.110556624941728804,8.708070699313291,0x4b8F1413e82ccF185cac73d51319CA4462630d90,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,318074859262312170076177966710.288110556624941728,1642813210,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14052255,20,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xae7414746605c0f489634fbfeccdcfdd3d8e1a46a2a0101cb2f1d8399acdc73e,60,3.57e-16,3086868000000,19163870397571246820624023519181.825727490840309719,9.424680034017628,0x56bCe988e2Ae77Fe85A054676Eb33F700aaB938B,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,319163870397571246820624023519.181825727490840309,1642813245,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14054206,0,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x8f268dcb853ea98d536f488c36ec9ac9ac6a5486e39ec1d8c430e8edf8cdf47d,19,3.58e-16,2992188000000,18064106721441281632467611667440.850029184964393257,9.254900278245149,0x3301ad9e75C9F8150194D0C8Bab044D276e2ECC7,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,318064106721441281632467611667.440850029184964393,1642838400,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14054206,0,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x8f268dcb853ea98d536f488c36ec9ac9ac6a5486e39ec1d8c430e8edf8cdf47d,24,3.59e-16,2992188000000,28607942618412152266279886232614.732956135301480465,14.61,0x8dC91e1AF89d85FCC1a339706Aaf2044f45AAe77,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,328607942618412152266279886232.61473295613530148,1642838400,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
