event_ilk,event_symb,blockNumber,transactionIndex,address,transactionHash,logIndex,event_id,event_max,event_price,event_owe,event_tab,event_lot,event_usr,timestamp,from
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12462838,145,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x87764cf393ba5f1d8cfcb6af7ed85270d960b9b57f35f1b33648aa042c58a5fe,254,1.1e-17,2827413290818.6377,2827413290818.6377,28317547334861745911446106708653.485217935486420856,0,1.8906769195803512,0xf024521f7ca9E1326065A80827DFf780F0bF3702,1621400499,0x5C69eb3eFcA25e5f646f7f359E6350A77b9BE305
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12462842,362,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x2fc7bdea7c542b3386f73db19f18e927dbef8f0e9fa527eaffeafa07f2a715b0,212,1.2e-17,2827413290818.6377,2827413290818.6377,7364443555177448846411066831950.846750689604256687,0,0.5253423862398348,0xE89063891F591565afc733b41492f0380Ae6ed3c,1621400545,0xf168041fc1C22292AF049B037743BF3e97136B8E
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12463317,4,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x17439e52dab5ce1a8beaeda542811f7a692ae1f65dbc626bdb85736077cbc43e,29,1.3e-17,2873802383020.4175,2873802383020.4175,32863537789012386749171695127094.579726122637893377,0,2.6216565955945765,0x051b8D59e43c419D7a402c242F9BcA234F8caa60,1621407100,0xEE17C9e5BE6fB3c22787380C3f86a2f6C1977F57
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12463549,0,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x84dc55c128daff935a96f2c1d030c09ccaa229cd896532fae2eaeb997771b1c8,4,1.5e-17,2930838762790.87,2930838762790.87,1062496610397787206546000450915045.500261701096497426,0,110.4769489584502,0x77dC3780A8B8Fd493FAEa063de6C765990B13351,1621410367,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12463553,16,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x938c995e4d22bcb16f9a667ce9e3f86aa21f740d72de70b4aeb1ddcb0b5cca6f,20,1.6e-17,2930838762790.87,2930838762790.87,17054265202044487644572489445871.476928950697411635,0,1.7625370623934875,0x21aBecB1C63E99f09D6D051037F74EEb202CfB99,1621410426,0xfDc7F6Fe18482677b544F114ee57582Ae4D37A0A
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12463558,79,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xd82ce100df1d617878e068449c13d1c470169f468f8b1e2c1f33506c0a05bf89,97,1.4e-17,2901530375162.9614,2901530375162.9614,5763588424206179512438505868163.011055410712341783,0,0.5100542068260466,0xBFDb59E1E91287714b65d06134e4A62634e73D2d,1621410458,0x4Efaf884B0F9B5261618F52d11BaA7E698a3546f
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12465039,71,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x1865755a7e08dc5fabec500f21d8019ec5cbb55b840279cb4a98db3ed3827f3d,227,1.7e-17,2202780504980.6016,2202780504980.6016,199999999999999999999583798067753.174419503023386889,4137560618414307234082820467936780.540409853603634306,1940.0556609599596,0xC9c341c5689BAA5088d20012635f5Eb932F0C209,1621430236,0x0b86Be722d1333B1fF9f2627E88e66582CAeB622
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12465057,74,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x2a13259d10d99c42a429a6bd4e4fb5654589ed6ba83f102a538e8b300c7623f8,187,2e-17,2158945172931.4873,2158945172931.4873,100390950541314163496198064997134.0,2842935029752992240733141169265.665964540908469015,0,0x25E8fa5b81847812958228403DF0Af970d6fc808,1621430491,0x0b86Be722d1333B1fF9f2627E88e66582CAeB622
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12465059,72,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x03c673db45c083e0fd0e93f16e0fa387a24ae8439c0164fd28d199158d4f1c77,167,1.7e-17,2137355721202.1726,2137355721202.1726,99609049458685836501938193575333.288458807165073862,4037951568955621397580882274361447.251951046438560444,1893.4517903592064,0xC9c341c5689BAA5088d20012635f5Eb932F0C209,1621430511,0x0b86Be722d1333B1fF9f2627E88e66582CAeB622
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12465078,50,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x98fa2dc6b5b5a56232d0f1e53da97597b323791cbccf08174c6f9700d4f8fe23,44,2.1e-17,2115982163990.151,2115982163990.151,194015219856561459089124993608615.914954828790272854,5509746991523963331806650981981.306783360726282847,0,0x53feebe7bBC8b15FAc15f31E987CA7A711677e23,1621430671,0x00aBe7471ec9b6953A3BD0ed3C06c46F29Aa4280
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12465079,78,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x97b2a6ddc6372ae690b2255aad67a44e4b38e963bb992af19047e227ba26e9aa,109,1.7e-17,2094822342350.2493,2094822342350.2493,199999999999999999999654856289894.772919572699174696,3837951568955621397581227418071552.479031473739385748,1797.9783003373204,0xC9c341c5689BAA5088d20012635f5Eb932F0C209,1621430687,0x0b86Be722d1333B1fF9f2627E88e66582CAeB622
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12465082,35,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xe0d62cafda33b9af41165672f1b3f3244f6d33c15a957a8955aaad14a6fc4899,62,2.2e-17,2115982163990.151,2115982163990.151,165046608791231761465046245966194.0,2277895603168027908706073969666.666692749261287797,0,0xF23Ee7717Ee3229E9Fde07fE75cB354fCd4094f3,1621430760,0xF3d18dB1B4900bAd51b6106F757515d1650A5894
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12465093,18,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x10b1c99b25db3540cd8bf7416bed6cf62803bd1bcdeff673dd3e2acd5614db93,139,1.7e-17,2073874118926.7468,2053135377737.4792,1950478608850605353485695666203200.0,1887472960105016044095531751868352.479031473739385748,847.9783003373205,0xC9c341c5689BAA5088d20012635f5Eb932F0C209,1621430869,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C
